"﻿""Perioden""";Regio's;Regiocodering/Gemeentenaam (naam);Regiocodering/Soort regio (omschrijving);Regiocodering/Codering ();Wonen/Woningvoorraad (aantal);Wonen/Percentage gestapelde bouw (%);Wonen/Percentage leegstand (%);Wonen/Gemiddelde woningwaarde (1 000 euro);Wonen/Woningen naar eigendom/Koopwoningen (%);Wonen/Woningen naar eigendom/Huurwoningen/Huurwoningen totaal (%);Wonen/Woningen naar eigendom/Huurwoningen/In bezit woningcorporatie (%);Wonen/Woningen naar eigendom/Huurwoningen/In bezit overige verhuurders (%);Wonen/Woningen naar eigendom/Eigendom onbekend (%);Wonen/Woningen naar bouwjaarklasse/Bouwjaarklasse vanaf 2000 (%);Wonen/Woningen naar bouwjaarklasse/Bouwjaarklasse tot 2000 (%);Energie/Gemiddeld aardgasverbruik/Totaal (m³);Energie/Gemiddeld aardgasverbruik/Naar woningtype/Appartement (m³);Energie/Gemiddeld aardgasverbruik/Naar woningtype/Tussenwoning (m³);Energie/Gemiddeld aardgasverbruik/Naar woningtype/Hoekwoning (m³);Energie/Gemiddeld aardgasverbruik/Naar woningtype/Twee-onder-één-kap-woning (m³);Energie/Gemiddeld aardgasverbruik/Naar woningtype/Vrijstaande woning (m³);Energie/Gemiddeld aardgasverbruik/Naar woningtype/Woningtype onbekend (m³);Energie/Gemiddeld aardgasverbruik/Percentage woningen met stadsverwarming (%);Energie/Gemiddeld elektriciteitsverbruik/Totaal (kWh);Energie/Gemiddeld elektriciteitsverbruik/Naar woningtype/Appartement (kWh);Energie/Gemiddeld elektriciteitsverbruik/Naar woningtype/Tussenwoning (kWh);Energie/Gemiddeld elektriciteitsverbruik/Naar woningtype/Hoekwoning (kWh);Energie/Gemiddeld elektriciteitsverbruik/Naar woningtype/Twee-onder-één-kap-woning (kWh);Energie/Gemiddeld elektriciteitsverbruik/Naar woningtype/Vrijstaande woning (kWh);Energie/Gemiddeld elektriciteitsverbruik/Naar woningtype/Woningtype onbekend (kWh);Inkomen/Persoonlijk inkomen/Aantal inkomensontvangers   (aantal);Inkomen/Persoonlijk inkomen/Gemiddeld inkomen per inkomensontvanger  (1 000 euro);Inkomen/Persoonlijk inkomen/Gemiddeld inkomen per inwoner  (1 000 euro);Inkomen/Persoonlijk inkomen/Personen met laag inkomen (%);Inkomen/Persoonlijk inkomen/Personen met hoog inkomen (%);Inkomen/Persoonlijk inkomen/Niet actieven (%);Inkomen/Inkomen van huishoudens/Huishouden met laag inkomen (%);Inkomen/Inkomen van huishoudens/Huishouden met hoog inkomen (%);Inkomen/Inkomen van huishoudens/Huishouden met lage koopkracht (%);Inkomen/Inkomen van huishoudens/Huish. onder of rond sociaal minimum (%);Sociale zekerheid/Uitkeringen Algemene bijstand (ABW/WWB)/Algemene bijstandsuitkeringen totaal (aantal);Sociale zekerheid/Uitkeringen Algemene bijstand (ABW/WWB)/Algemene bijstandsuitkeringen relatief (per 1 000 huishoudens);Sociale zekerheid/Uitkeringen Algemene bijstand (ABW/WWB)/Algemene bijstandsuitk. jaarmutatie (%);Sociale zekerheid/Uitkeringen Arbeidsongeschiktheid (AO)/AO-uitkeringen totaal (aantal);Sociale zekerheid/Uitkeringen Arbeidsongeschiktheid (AO)/AO-uitkeringen relatief (per 1 000 inwoners);Sociale zekerheid/Uitkeringen Arbeidsongeschiktheid (AO)/AO-uitkeringen jaarmutatie (%);Sociale zekerheid/Uitkeringen Werkloosheid (WW)/WW-uitkeringen totaal (aantal);Sociale zekerheid/Uitkeringen Werkloosheid (WW)/WW-uitkeringen relatief (per 1 000 inwoners);Sociale zekerheid/Uitkeringen Werkloosheid (WW)/WW-uitkeringen jaarmutatie (%)
2009;Nederland;Nederland ;Land;NL00;7104520;;;241;56;44;31;12;1;10;90;1600;1050;1450;1750;2050;2650;1700;4;3300;2250;3350;3500;3950;4550;3000;11608100;29,3;21,1;40;20;21;40;20;7;8;263100;41;-3;749980;68;;197770;20;
2009;Appingedam;Appingedam;Gemeente;GM0003;5520;;;150;50;50;44;6;0;8;92;1800;1350;1550;1750;1900;2350;2800;0;3000;2000;2750;2850;3200;3950;3750;8600;25,4;18,6;44;13;20;50;12;7;8;220;44;-8;660;85;;240;30;
2009;Wijk 00;Appingedam;Wijk;WK000300;5520;;;150;50;50;44;6;0;8;92;1800;1350;1550;1750;1900;2350;2800;0;3000;2000;2750;2850;3200;3950;3750;8600;25,4;18,6;44;13;20;50;12;7;8;220;44;-8;660;85;;240;30;
2009;Appingedam-Centrum;Appingedam;Buurt ;BU00030000;1335;;;140;44;56;42;14;1;10;90;1750;1400;1350;1700;2150;2700;2850;0;2600;2100;2250;2550;3300;3600;3600;2000;25,6;20,8;49;13;22;56;13;6;8;40;33;;180;125;;40;25;
2009;Appingedam-West;Appingedam;Buurt ;BU00030001;1310;;;191;66;33;29;4;1;6;94;1850;1100;1550;1600;1900;2150;;0;3450;1900;3000;2750;3450;4150;;2200;29,2;21;38;19;18;38;21;5;4;30;25;;130;60;;50;25;
2009;Appingedam-Oost;Appingedam;Buurt ;BU00030002;2660;;;129;41;59;55;3;0;7;93;1750;1350;1600;1800;1800;2400;;0;2850;1750;2800;3000;2900;3600;;3900;22,6;16,1;47;8;23;55;5;8;9;140;61;-7;330;88;;140;37;
2009;Verspr. huizen Damsterdiep en Eemskanaal;Appingedam;Buurt ;BU00030007;120;;;268;95;4;0;4;1;56;44;2000;;1600;;2100;2200;;0;4200;;3850;;4700;4250;;300;34,1;22;22;31;9;20;33;2;2;0;0;;10;32;;0;5;
2009;Verspr. huizen ten zuiden van Eemskanaal;Appingedam;Buurt ;BU00030008;45;;;;88;12;0;12;0;2;98;2350;;;;;2350;;0;4700;;;;;4800;;;;;;;;;;;;;;;;;;;;
2009;Verspr. h. ten N. van het Damsterdiep;Appingedam;Buurt ;BU00030009;55;;;;74;26;0;26;0;2;98;2600;;1950;;2400;2800;;0;4100;;2300;;;4650;;;;;;;;;;;;0;51;;0;45;;0;22;
2009;Bedum;Bedum ;Gemeente;GM0005;4280;;;196;69;30;21;9;1;5;95;1950;1150;1650;1850;1900;2400;2850;0;3300;2000;3000;3150;3300;3900;4100;7100;26,6;18,7;41;17;19;38;17;4;5;80;20;6;590;85;;120;15;
2009;Wijk 00;Bedum ;Wijk;WK000500;4280;;;196;69;30;21;9;1;5;95;1950;1150;1650;1850;1900;2400;2850;0;3300;2000;3000;3150;3300;3900;4100;7100;26,6;18,7;41;17;19;38;17;4;5;80;20;6;590;85;;120;15;
2009;Bedum;Bedum ;Buurt ;BU00050000;3335;;;188;66;33;24;8;1;6;94;1850;1150;1650;1850;1850;2350;3000;0;3250;2000;3000;3200;3300;3900;3900;5400;26,3;18,5;41;16;19;40;15;4;5;70;22;6;510;97;;100;20;
2009;Verspreide huizen Bedum;Bedum ;Buurt ;BU00050001;140;;;264;86;13;0;13;1;4;96;2550;;;;2600;2550;;0;4450;;;;;4400;;300;29;21,2;40;22;12;24;33;1;1;0;5;;10;44;;0;0;
2009;Zuidwolde;Bedum ;Buurt ;BU00050002;375;;;223;74;25;19;6;1;0;100;2250;;1800;1900;2050;2600;;0;3450;;2800;2750;3350;3950;;700;29,4;20;33;20;22;26;21;2;2;10;22;;30;52;;10;20;
