Perioden;Regio's;Regiocodering/Gemeentenaam (naam);Regiocodering/Soort regio (omschrijving);Regiocodering/Codering ();Wonen/Woningvoorraad (aantal);Wonen/Percentage gestapelde bouw (%);Wonen/Percentage leegstand (%);Wonen/Gemiddelde woningwaarde (1 000 euro);Wonen/Woningen naar eigendom/Koopwoningen (%);Wonen/Woningen naar eigendom/Huurwoningen/Huurwoningen totaal (%);Wonen/Woningen naar eigendom/Huurwoningen/In bezit woningcorporatie (%);Wonen/Woningen naar eigendom/Huurwoningen/In bezit overige verhuurders (%);Wonen/Woningen naar eigendom/Eigendom onbekend (%);Wonen/Woningen naar bouwjaarklasse/Bouwjaarklasse vanaf 2000 (%);Wonen/Woningen naar bouwjaarklasse/Bouwjaarklasse tot 2000 (%);Energie/Gemiddeld aardgasverbruik/Totaal (m³);Energie/Gemiddeld aardgasverbruik/Naar woningtype/Appartement (m³);Energie/Gemiddeld aardgasverbruik/Naar woningtype/Tussenwoning (m³);Energie/Gemiddeld aardgasverbruik/Naar woningtype/Hoekwoning (m³);Energie/Gemiddeld aardgasverbruik/Naar woningtype/Twee-onder-één-kap-woning (m³);Energie/Gemiddeld aardgasverbruik/Naar woningtype/Vrijstaande woning (m³);Energie/Gemiddeld aardgasverbruik/Naar woningtype/Woningtype onbekend (m³);Energie/Gemiddeld aardgasverbruik/Percentage woningen met stadsverwarming (%);Energie/Gemiddeld elektriciteitsverbruik/Totaal (kWh);Energie/Gemiddeld elektriciteitsverbruik/Naar woningtype/Appartement (kWh);Energie/Gemiddeld elektriciteitsverbruik/Naar woningtype/Tussenwoning (kWh);Energie/Gemiddeld elektriciteitsverbruik/Naar woningtype/Hoekwoning (kWh);Energie/Gemiddeld elektriciteitsverbruik/Naar woningtype/Twee-onder-één-kap-woning (kWh);Energie/Gemiddeld elektriciteitsverbruik/Naar woningtype/Vrijstaande woning (kWh);Energie/Gemiddeld elektriciteitsverbruik/Naar woningtype/Woningtype onbekend (kWh);Inkomen/Persoonlijk inkomen/Aantal inkomensontvangers   (aantal);Inkomen/Persoonlijk inkomen/Gemiddeld inkomen per inkomensontvanger  (1 000 euro);Inkomen/Persoonlijk inkomen/Gemiddeld inkomen per inwoner  (1 000 euro);Inkomen/Persoonlijk inkomen/Personen met laag inkomen (%);Inkomen/Persoonlijk inkomen/Personen met hoog inkomen (%);Inkomen/Persoonlijk inkomen/Niet actieven (%);Inkomen/Inkomen van huishoudens/Huishouden met laag inkomen (%);Inkomen/Inkomen van huishoudens/Huishouden met hoog inkomen (%);Inkomen/Inkomen van huishoudens/Huishouden met lage koopkracht (%);Inkomen/Inkomen van huishoudens/Huish. onder of rond sociaal minimum (%);Sociale zekerheid/Uitkeringen Algemene bijstand (ABW/WWB)/Algemene bijstandsuitkeringen totaal (aantal);Sociale zekerheid/Uitkeringen Algemene bijstand (ABW/WWB)/Algemene bijstandsuitkeringen relatief (per 1 000 huishoudens);Sociale zekerheid/Uitkeringen Algemene bijstand (ABW/WWB)/Algemene bijstandsuitk. jaarmutatie (%);Sociale zekerheid/Uitkeringen Arbeidsongeschiktheid (AO)/AO-uitkeringen totaal (aantal);Sociale zekerheid/Uitkeringen Arbeidsongeschiktheid (AO)/AO-uitkeringen relatief (per 1 000 inwoners);Sociale zekerheid/Uitkeringen Arbeidsongeschiktheid (AO)/AO-uitkeringen jaarmutatie (%);Sociale zekerheid/Uitkeringen Werkloosheid (WW)/WW-uitkeringen totaal (aantal);Sociale zekerheid/Uitkeringen Werkloosheid (WW)/WW-uitkeringen relatief (per 1 000 inwoners);Sociale zekerheid/Uitkeringen Werkloosheid (WW)/WW-uitkeringen jaarmutatie (%)
2010;Nederland;Nederland ;Land;NL00;7172435;;;243;55;44;32;12;1;11;89;1850;1250;1700;2000;2400;3100;1700;4;3300;2250;3350;3500;3950;4550;2900;11708900;29,8;21,5;40;20;21;40;20;7;8;290210;44;10;804440;72;;281770;25;
2010;Appingedam;Appingedam;Gemeente;GM0003;5525;;;152;49;50;44;7;0;9;91;2100;1650;1850;2100;2250;2800;1900;0;3000;2000;2750;2900;3200;3950;2350;8700;25,8;19,2;45;13;22;50;13;7;8;250;50;15;720;95;;300;39;
2010;Wijk 00;Appingedam;Wijk;WK000300;5525;;;152;49;50;44;7;0;9;91;2100;1650;1850;2100;2250;2800;1900;0;3000;2000;2750;2900;3200;3950;2350;8700;25,8;19,1;45;13;22;50;13;7;8;250;50;15;720;95;;300;39;
2010;Appingedam-Centrum;Appingedam;Buurt ;BU00030000;1335;;;141;43;57;42;14;1;10;90;2100;1750;1650;2000;2550;3200;3350;0;2650;2150;2250;2750;3300;3650;3250;2000;25,6;21,1;51;13;23;59;14;6;8;40;32;;190;131;;50;34;
2010;Appingedam-West;Appingedam;Buurt ;BU00030001;1310;;;193;66;33;29;5;1;6;94;2200;1300;1850;1950;2300;2600;;0;3450;1950;3050;2750;3500;4200;;2200;30,2;21,9;37;19;19;35;21;5;4;50;35;;140;66;;70;31;
2010;Appingedam-Oost;Appingedam;Buurt ;BU00030002;2660;;;130;41;59;55;4;0;8;92;2050;1500;1850;2150;2150;2900;1150;0;2850;1700;2800;3000;2900;3600;1950;4000;23,1;16,7;48;9;26;55;6;7;9;160;69;13;370;99;;170;46;
2010;Verspr. huizen Damsterdiep en Eemskanaal;Appingedam;Buurt ;BU00030007;120;;;286;95;4;0;4;1;57;43;2350;;1900;;2350;2600;;0;4050;;3900;;4500;4400;;300;34,4;22,6;26;37;9;21;32;3;3;0;;;20;95;;0;10;
2010;Verspr. huizen ten zuiden van Eemskanaal;Appingedam;Buurt ;BU00030008;45;;;;91;9;0;9;0;2;98;2800;;;;;2800;;0;4650;;;;;4750;;;;;;;;;;;;;;;;;;;;
2010;Verspr. h. ten N. van het Damsterdiep;Appingedam;Buurt ;BU00030009;55;;;248;75;25;0;25;0;4;96;3200;;2150;;;3500;;0;3650;;2050;;;4150;;100;;12,3;;;;53;12;35;35;0;70;;0;23;;0;35;
2010;Bedum;Bedum ;Gemeente;GM0005;4320;;;192;68;31;23;9;1;6;94;2300;1300;1950;2200;2250;2900;3350;0;3350;2050;3000;3150;3350;3950;4150;7200;27,2;19,3;40;17;19;39;17;4;5;100;24;17;650;94;;180;27;
2010;Wijk 00;Bedum ;Wijk;WK000500;4320;;;192;68;31;23;9;1;6;94;2300;1300;1950;2200;2250;2900;3350;0;3350;2050;3000;3150;3350;3950;4150;7200;27,3;19,3;40;17;18;39;17;4;5;100;24;17;650;94;;180;27;
2010;Bedum;Bedum ;Buurt ;BU00050000;3340;;;182;66;33;25;8;1;7;93;2200;1300;1950;2200;2200;2800;3550;0;3250;2050;3000;3250;3350;3950;3850;5400;27;19,1;40;17;19;41;16;4;6;80;26;17;550;105;;150;29;
2010;Verspreide huizen Bedum;Bedum ;Buurt ;BU00050001;160;;;270;72;28;16;12;1;20;80;2750;;;1550;2000;3050;;0;4000;;;2100;2950;4400;;300;30,7;22;41;23;12;19;37;4;1;0;25;;20;62;;0;10;
2010;Zuidwolde;Bedum ;Buurt ;BU00050002;385;;;221;73;27;21;6;1;3;97;2750;;2200;2250;2500;3200;;0;3500;;2850;2750;3400;3950;;700;29,5;20,2;36;19;23;30;21;2;2;10;19;;40;65;;20;26;
