@@ -0,0 +1,15057 @@
﻿"Regio's";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Bevolking/Aantal inwoners (aantal)";"Bevolking/Geslacht/Mannen (aantal)";"Bevolking/Geslacht/Vrouwen (aantal)";"Bevolking/Leeftijdsgroepen/0 tot 15 jaar (%)";"Bevolking/Leeftijdsgroepen/15 tot 25 jaar (%)";"Bevolking/Leeftijdsgroepen/25 tot 45 jaar (%)";"Bevolking/Leeftijdsgroepen/45 tot 65 jaar (%)";"Bevolking/Leeftijdsgroepen/65 jaar of ouder (%)";"Bevolking/Burgerlijke staat/Ongehuwd (%)";"Bevolking/Burgerlijke staat/Gehuwd (%)";"Bevolking/Burgerlijke staat/Gescheiden (%)";"Bevolking/Burgerlijke staat/Verweduwd (%)";"Bevolking/Personen met een migratieachtergrond/Westers totaal (%)";"Bevolking/Personen met een migratieachtergrond/Niet-westers/Niet-westers totaal (%)";"Bevolking/Personen met een migratieachtergrond/Niet-westers/Marokko (%)";"Bevolking/Personen met een migratieachtergrond/Niet-westers/Nederlandse Antillen en Aruba (%)";"Bevolking/Personen met een migratieachtergrond/Niet-westers/Suriname (%)";"Bevolking/Personen met een migratieachtergrond/Niet-westers/Turkije (%)";"Bevolking/Personen met een migratieachtergrond/Niet-westers/Overig niet-westers (%)";"Bevolking/Geboorte en sterfte/Geboorte totaal (aantal)";"Bevolking/Geboorte en sterfte/Geboorte relatief (per 1 000 inwoners)";"Bevolking/Geboorte en sterfte/Sterfte totaal (aantal)";"Bevolking/Geboorte en sterfte/Sterfte relatief (per 1 000 inwoners)";"Bevolking/Particuliere huishoudens/Huishoudens totaal (aantal)";"Bevolking/Particuliere huishoudens/Eenpersoonshuishoudens (%)";"Bevolking/Particuliere huishoudens/Huishoudens zonder kinderen (%)";"Bevolking/Particuliere huishoudens/Huishoudens met kinderen (%)";"Bevolking/Particuliere huishoudens/Gemiddelde huishoudensgrootte (aantal)";"Bevolking/Bevolkingsdichtheid (aantal inwoners per km²)";"Wonen/Woningvoorraad (aantal)";"Wonen/Gemiddelde woningwaarde (x 1 000 euro)";"Energie/Gemiddeld elektriciteitsverbruik/Gemiddeld elektriciteitsverbruik totaal (kWh)";"Energie/Gemiddeld elektriciteitsverbruik/Naar woningtype/Appartement (kWh)";"Energie/Gemiddeld elektriciteitsverbruik/Naar woningtype/Tussenwoning (kWh)";"Energie/Gemiddeld elektriciteitsverbruik/Naar woningtype/Hoekwoning (kWh)";"Energie/Gemiddeld elektriciteitsverbruik/Naar woningtype/Twee-onder-één-kap-woning (kWh)";"Energie/Gemiddeld elektriciteitsverbruik/Naar woningtype/Vrijstaande woning (kWh)";"Energie/Gemiddeld elektriciteitsverbruik/Naar eigendom/Huurwoning (kWh)";"Energie/Gemiddeld elektriciteitsverbruik/Naar eigendom/Koopwoning (kWh)";"Energie/Gemiddeld aardgasverbruik/Gemiddeld aardgasverbruik totaal (m³)";"Energie/Gemiddeld aardgasverbruik/Naar woningtype/Appartement (m³)";"Energie/Gemiddeld aardgasverbruik/Naar woningtype/Tussenwoning (m³)";"Energie/Gemiddeld aardgasverbruik/Naar woningtype/Hoekwoning (m³)";"Energie/Gemiddeld aardgasverbruik/Naar woningtype/Twee-onder-één-kap-woning (m³)";"Energie/Gemiddeld aardgasverbruik/Naar woningtype/Vrijstaande woning (m³)";"Energie/Gemiddeld aardgasverbruik/Naar eigendom/Huurwoning (m³)";"Energie/Gemiddeld aardgasverbruik/Naar eigendom/Koopwoning (m³)";"Energie/Gemiddeld aardgasverbruik/Percentage woningen met stadsverwarming (%)";"Inkomen/Inkomen van personen/Aantal inkomensontvangers   (aantal)";"Inkomen/Inkomen van personen/Gemiddeld inkomen per inkomensontvanger  (x 1 000 euro)";"Inkomen/Inkomen van personen/Gemiddeld inkomen per inwoner  (x 1 000 euro)";"Inkomen/Inkomen van personen/Personen met laag inkomen (%)";"Inkomen/Inkomen van personen/Personen met hoog inkomen (%)";"Inkomen/Inkomen van personen/Niet-actieven (%)";"Inkomen/Inkomen van huishoudens/Huishoudens met laag inkomen (%)";"Inkomen/Inkomen van huishoudens/Huishoudens met hoog inkomen (%)";"Inkomen/Inkomen van huishoudens/Huishoudens met lage koopkracht (%)";"Inkomen/Inkomen van huishoudens/Huish. onder of rond sociaal minimum (%)";"Indelingswijziging wijken en buurten (code)"
"Appingedam";"Appingedam                              ";"Gemeente  ";"GM0003    ";12050;5835;6215;15;10;22;30;22;41;44;8;8;8;5;0;0;1;2;2;95;7;145;12;5525;35;33;32;2,1;507;5785;149;2850;1900;2850;3000;3050;3900;2350;3450;1800;1200;1700;1900;2000;2550;1600;2100;0;8700;26,4;19,7;46;14;24;49;12;10;10;"."
"Wijk 00";"Appingedam                              ";"Wijk      ";"WK000300  ";12050;5835;6215;15;10;22;30;22;41;44;8;8;8;5;0;0;1;2;2;95;7;145;12;5525;35;33;32;2,1;507;5785;149;2850;1900;2850;3000;3050;3900;2350;3450;1800;1200;1700;1900;2000;2550;1600;2100;0;8700;26,4;19,7;46;14;24;49;12;10;10;"1"
"Appingedam-Centrum";"Appingedam                              ";"Buurt     ";"BU00030000";2305;1075;1230;10;10;21;29;30;38;39;9;14;6;3;0;0;0;0;2;20;8;55;24;1275;52;29;19;1,7;2739;1425;136;2500;1950;2500;2950;3100;3600;2100;3200;1700;1150;1650;2000;2250;2900;1450;2300;0;1800;26,8;21,6;48;12;26;59;11;10;11;"1"
"Appingedam-West";"Appingedam                              ";"Buurt     ";"BU00030001";3165;1575;1595;18;10;22;33;16;42;48;6;4;6;3;0;0;0;1;1;20;6;15;4;1340;25;37;38;2,4;2006;1314;184;3300;1750;3000;2900;3300;4000;2600;3650;1950;1100;1600;1850;2000;2300;1600;2100;0;2300;30,1;21,9;38;19;18;36;19;8;;"1"
"Appingedam-Oost";"Appingedam                              ";"Buurt     ";"BU00030002";5970;2870;3100;16;11;23;28;23;41;43;8;8;9;8;1;1;1;4;2;55;9;75;12;2690;34;33;34;2,2;2101;2819;131;2700;1850;2950;3050;2750;3650;2350;3250;1750;1250;1750;1900;1900;2650;1600;2000;0;4200;23,8;17,5;50;10;27;53;7;11;12;"1"
"Verspr.h. Damsterdiep en Eemskanaal";"Appingedam                              ";"Buurt     ";"BU00030007";355;185;165;23;10;27;30;9;51;44;4;1;5;0;;;;;;0;;0;;120;11;35;54;2,9;66;124;269;4150;;;;3650;4250;;4150;2150;;;;1750;2300;;2150;0;200;34,6;22,8;29;34;;15;38;;;"1"
"Verspr.h. ten zuiden van Eemskanaal";"Appingedam                              ";"Buurt     ";"BU00030008";100;50;45;17;12;15;41;14;41;53;3;3;1;2;;;;;;0;0;0;0;40;25;38;38;2,5;18;41;;4700;;;;;4800;;4550;2650;;;;;2700;;2400;0;;;;;;;;;;;"1"
"Verspr.h. ten N. van het Damsterdiep";"Appingedam                              ";"Buurt     ";"BU00030009";150;75;75;22;9;18;35;17;41;51;7;1;5;0;;;;;;0;;0;0;60;23;41;36;2,5;20;62;;4050;;2150;;;4450;3350;4300;3000;;1800;;;3300;2500;3150;0;100;24,8;17,5;51;20;;;;;;"1"
"Bedum";"Bedum                                   ";"Gemeente  ";"GM0005    ";10550;5280;5270;17;12;22;31;18;44;46;5;5;4;2;0;0;0;0;2;85;8;75;7;4370;29;33;38;2,4;237;4464;184;3150;1850;3000;3050;3200;3800;2400;3500;2050;1150;1800;2000;2000;2650;1750;2200;0;7400;28,6;20,6;40;17;19;37;18;7;6;"."
"Wijk 00";"Bedum                                   ";"Wijk      ";"WK000500  ";10550;5280;5270;17;12;22;31;18;44;46;5;5;4;2;0;0;0;0;2;85;8;75;7;4370;29;33;38;2,4;237;4464;184;3150;1850;3000;3050;3200;3800;2400;3500;2050;1150;1800;2000;2000;2650;1750;2200;0;7400;28,6;20,6;40;17;19;37;18;7;6;"1"
"Bedum";"Bedum                                   ";"Buurt     ";"BU00050000";7920;3925;3995;17;12;21;30;19;43;46;5;6;4;2;0;0;0;0;2;60;7;65;8;3300;30;33;37;2,3;2572;3423;174;3100;1800;3050;3100;3250;3750;2350;3500;1900;1150;1800;2000;1950;2550;1700;2100;0;5500;28;20,3;42;16;20;39;16;6;6;"1"
"Verspreide huizen Bedum";"Bedum                                   ";"Buurt     ";"BU00050001";645;335;310;21;12;26;31;10;49;45;4;2;5;2;0;0;0;0;1;5;6;0;;235;19;33;48;2,8;30;223;250;3800;;2100;2650;3150;4400;2950;4050;2300;;1000;1400;1600;2850;1800;2500;0;500;30,5;20,9;35;22;;27;31;;;"1"
"Zuidwolde";"Bedum                                   ";"Buurt     ";"BU00050002";945;465;480;16;12;19;36;17;44;45;7;3;6;2;0;0;0;0;1;10;9;5;5;410;29;36;36;2,3;1326;387;209;3300;;2600;2800;2950;3850;2400;3600;2450;;1800;2000;2200;2900;1900;2600;0;700;30,8;22,6;35;18;;34;21;;;"1"
"Verspreide huizen Zuidwolde";"Bedum                                   ";"Buurt     ";"BU00050003";115;65;50;14;14;18;40;14;40;53;4;3;5;3;;;;;;0;26;0;0;45;26;45;30;2,4;17;47;;5000;;;;;4750;4800;4900;3400;;;;;3450;2400;3600;0;100;;24,3;;;;;;;;"1"
"Onderdendam";"Bedum                                   ";"Buurt     ";"BU00050004";540;290;255;17;14;24;32;13;47;42;7;5;3;1;;;;;;5;9;0;;235;33;31;36;2,3;979;242;164;3050;;2600;3100;3200;3100;2400;3250;2350;;1900;2050;2600;2550;2200;2450;0;400;27,5;20,6;39;17;;39;17;;;"1"
"Verspreide huizen Onderdendam";"Bedum                                   ";"Buurt     ";"BU00050005";95;50;45;14;13;24;33;15;49;45;3;2;7;0;;;;;;0;;0;0;35;8;47;44;2,7;18;39;;4650;;;;;5300;;4600;2650;;;;;2800;;2650;0;;;;;;;;;;;"1"
"Noordwolde";"Bedum                                   ";"Buurt     ";"BU00050006";135;65;70;15;14;16;37;18;42;46;5;7;7;1;;;;;;0;;0;0;55;26;33;40;2,4;580;58;230;3050;;;;2050;3550;2050;3250;2500;;;;1950;2850;2200;2500;0;100;;23,1;;;;;;;;"1"
"Verspreide huizen Noordwolde";"Bedum                                   ";"Buurt     ";"BU00050007";145;80;65;26;12;19;34;10;53;41;1;4;1;1;;;;;;0;;0;;45;15;24;61;3,2;24;45;;3850;;;;;4050;;3700;2700;;;;;2850;;2550;0;100;;19,9;;;;;;;;"1"
"Bellingwedde";"Bellingwedde                            ";"Gemeente  ";"GM0007    ";8985;4490;4495;14;9;19;34;23;36;49;7;7;8;2;0;0;0;0;1;55;6;110;12;4010;29;40;31;2,2;83;4136;170;3550;1700;2550;2700;3250;4000;2600;3950;2400;1100;1850;2000;2200;2650;2100;2550;0;6600;26,5;19,9;46;14;25;44;14;10;10;"."
"Wijk 00 Bellingwolde";"Bellingwedde                            ";"Wijk      ";"WK000700  ";4025;2005;2020;15;9;21;34;22;38;47;8;7;10;2;0;0;0;0;1;20;5;45;10;1820;29;39;31;2,2;94;1901;165;3600;2150;2650;2900;3200;4000;2800;3950;2400;1250;1800;2050;2200;2650;2150;2550;0;2900;25,9;19,3;46;13;26;45;11;11;11;"1"
"Bellingwolde";"Bellingwedde                            ";"Buurt     ";"BU00070000";2180;1090;1090;16;9;22;29;23;39;45;9;7;11;2;0;0;0;0;1;10;5;25;11;985;30;38;33;2,2;490;1020;156;3450;2150;2800;3050;3300;3850;2700;3850;2350;1250;1850;2000;2200;2700;2050;2550;0;1600;25,5;18,7;47;12;26;47;11;10;11;"1"
"Vriescheloo";"Bellingwedde                            ";"Buurt     ";"BU00070001";275;145;135;11;11;23;36;19;37;53;4;6;3;2;;;;;;0;;5;14;115;25;48;27;2,2;210;142;205;4250;;;;;4250;;4250;2850;;;;;2850;;2850;0;200;28,7;20,5;39;17;;34;14;;;"1"
"Rhederweg-West";"Bellingwedde                            ";"Buurt     ";"BU00070002";420;205;215;12;10;19;38;20;39;45;9;7;12;0;;;;;;0;;5;9;195;29;39;32;2,1;275;210;143;3400;;2750;2600;2850;3700;2850;3650;2350;;1950;2400;2250;2450;2300;2400;0;300;22,9;18,2;52;10;;46;8;;;"1"
